Model,Accuracy,Precision,Recall,F1,AUC-ROC,Inference (ms)
Random Forest,99.67% +/- 0.67%,99.68% +/- 0.65%,99.67% +/- 0.67%,99.67% +/- 0.67%,1.0000 +/- 0.0000,2.968 +/- 0.489
SVM (RBF),99.17% +/- 0.53%,99.19% +/- 0.52%,99.17% +/- 0.53%,99.17% +/- 0.53%,0.9999 +/- 0.0001,0.138 +/- 0.036
VGG16 + Clinical,95.16% +/- 2.76%,95.07% +/- 2.93%,95.06% +/- 2.93%,95.05% +/- 2.92%,0.9913 +/- 0.0084,114.708 +/- 109.909
ResNet50 + Clinical,94.33% +/- 3.09%,94.38% +/- 3.09%,94.33% +/- 3.09%,94.28% +/- 3.10%,0.9937 +/- 0.0051,131.567 +/- 17.536
DenseNet121 + Clinical,96.17% +/- 2.39%,96.22% +/- 2.41%,96.17% +/- 2.39%,96.13% +/- 2.45%,0.9972 +/- 0.0019,158.921 +/- 104.088
EfficientNet-B0 + Clinical,95.83% +/- 0.91%,95.95% +/- 0.77%,95.83% +/- 0.91%,95.75% +/- 1.00%,0.9979 +/- 0.0008,102.328 +/- 40.882
MobileNetV3 + Clinical,95.33% +/- 1.87%,95.38% +/- 1.91%,95.33% +/- 1.87%,95.28% +/- 1.91%,0.9940 +/- 0.0038,76.939 +/- 31.913
CNN+BiLSTM (Proposed),100.00% +/- 0.00%,100.00% +/- 0.00%,100.00% +/- 0.00%,100.00% +/- 0.00%,1.0000 +/- 0.0000,141.939 +/- 72.869
